#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	43	313814094	COUNT	subsecond	seconds	0.037963	0.104490	0.193042	0.000000
exponential2	43	313814094	COUNT	subsecond	minutes	0.014125	0.135992	0.034740	0.000000
exponential2	43	313814094	COUNT	subsecond	hours	0.002044	0.139992	0.005802	0.000000
exponential2	43	313814094	COUNT	subsecond	days	0.000367	0.078491	0.001021	0.000000
exponential2	43	313814094	COUNT	subsecond	months	0.000025	0.013999	0.000207	0.000000
exponential2	43	313814094	COUNT	subsecond	years	0.000000	0.077000	0.000000	0.000000
exponential2	43	313814094	COUNT	seconds	seconds	0.166961	0.001486	0.674830	0.000000
exponential2	43	313814094	COUNT	seconds	minutes	0.008622	0.001487	0.025744	0.000000
exponential2	43	313814094	COUNT	seconds	hours	0.001706	0.001497	0.004715	0.000000
exponential2	43	313814094	COUNT	seconds	days	0.000304	0.001499	0.000928	0.000000
exponential2	43	313814094	COUNT	seconds	months	0.000025	0.001494	0.000207	0.000000
exponential2	43	313814094	COUNT	seconds	years	0.000000	0.001000	0.000000	0.000000
exponential2	43	313814094	COUNT	minutes	seconds	0.181213	0.001495	0.862567	0.000000
exponential2	43	313814094	COUNT	minutes	minutes	0.015624	0.001490	0.073344	0.000000
exponential2	43	313814094	COUNT	minutes	hours	0.001728	0.001494	0.005048	0.000000
exponential2	43	313814094	COUNT	minutes	days	0.000292	0.001496	0.001089	0.000000
exponential2	43	313814094	COUNT	minutes	months	0.000022	0.001500	0.000206	0.000000
exponential2	43	313814094	COUNT	hours	seconds	0.190467	0.001499	0.872453	0.000000
exponential2	43	313814094	COUNT	hours	minutes	0.019792	0.001500	0.090411	0.000000
exponential2	43	313814094	COUNT	hours	hours	0.003241	0.000500	0.013070	0.000000
exponential2	43	313814094	COUNT	hours	days	0.000292	0.001500	0.001133	0.000000
exponential2	43	313814094	COUNT	hours	months	0.000023	0.004497	0.000201	0.000000
exponential2	43	313814094	COUNT	days	seconds	0.177973	0.001499	0.873735	0.000000
exponential2	43	313814094	COUNT	days	minutes	0.021378	0.001500	0.092331	0.000000
exponential2	43	313814094	COUNT	days	hours	0.004992	0.001500	0.017212	0.000000
exponential2	43	313814094	COUNT	days	days	0.000588	0.001500	0.002707	0.000000
exponential2	43	313814094	COUNT	days	months	0.000064	0.001486	0.000294	0.000000
exponential2	43	313814094	COUNT	months	seconds	0.141117	0.001500	0.873957	0.000000
exponential2	43	313814094	COUNT	months	minutes	0.022743	0.001500	0.092392	0.000000
exponential2	43	313814094	COUNT	months	hours	0.004355	0.001496	0.017567	0.000000
exponential2	43	313814094	COUNT	months	days	0.000679	0.002500	0.003470	0.000000
exponential2	43	313814094	COUNT	months	months	0.000154	0.008500	0.000690	0.000000
exponential2	43	313814094	COUNT	years	seconds	0.495025	0.001000	2.000000	0.000000
exponential2	43	313814094	SUM	subsecond	seconds	0.045482	0.000500	0.035367	0.000000
exponential2	43	313814094	SUM	subsecond	minutes	0.017335	0.001500	0.001557	0.000000
exponential2	43	313814094	SUM	subsecond	hours	0.001816	0.004000	0.000111	0.000000
exponential2	43	313814094	SUM	subsecond	days	0.000378	0.004500	0.000009	0.000000
exponential2	43	313814094	SUM	subsecond	months	0.000031	0.003000	0.000001	0.000000
exponential2	43	313814094	SUM	subsecond	years	0.000000	0.139000	0.000000	0.000000
exponential2	43	313814094	SUM	seconds	seconds	0.221554	0.001500	0.049747	0.000000
exponential2	43	313814094	SUM	seconds	minutes	0.009954	0.001500	0.001101	0.000000
exponential2	43	313814094	SUM	seconds	hours	0.001664	0.001499	0.000082	0.000000
exponential2	43	313814094	SUM	seconds	days	0.000282	0.001499	0.000008	0.000000
exponential2	43	313814094	SUM	seconds	months	0.000031	0.002488	0.000001	0.000000
exponential2	43	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	43	313814094	SUM	minutes	seconds	0.234666	0.001499	0.066408	0.000000
exponential2	43	313814094	SUM	minutes	minutes	0.017537	0.001499	0.001780	0.000000
exponential2	43	313814094	SUM	minutes	hours	0.001438	0.001500	0.000088	0.000000
exponential2	43	313814094	SUM	minutes	days	0.000274	0.001499	0.000008	0.000000
exponential2	43	313814094	SUM	minutes	months	0.000031	0.001499	0.000001	0.000000
exponential2	43	313814094	SUM	hours	seconds	0.305267	0.001500	0.067030	0.000000
exponential2	43	313814094	SUM	hours	minutes	0.021615	0.001499	0.002283	0.000000
exponential2	43	313814094	SUM	hours	hours	0.002792	0.001500	0.000138	0.000000
exponential2	43	313814094	SUM	hours	days	0.000269	0.001499	0.000008	0.000000
exponential2	43	313814094	SUM	hours	months	0.000035	0.002487	0.000001	0.000000
exponential2	43	313814094	SUM	days	seconds	0.280713	0.001500	0.067104	0.000000
exponential2	43	313814094	SUM	days	minutes	0.024363	0.001496	0.002307	0.000000
exponential2	43	313814094	SUM	days	hours	0.004435	0.001498	0.000192	0.000000
exponential2	43	313814094	SUM	days	days	0.000566	0.001500	0.000013	0.000000
exponential2	43	313814094	SUM	days	months	0.000082	0.001500	0.000001	0.000000
exponential2	43	313814094	SUM	months	seconds	0.165820	0.001500	0.089846	0.000000
exponential2	43	313814094	SUM	months	minutes	0.022986	0.001500	0.002308	0.000000
exponential2	43	313814094	SUM	months	hours	0.004025	0.001499	0.000194	0.000000
exponential2	43	313814094	SUM	months	days	0.000786	0.001500	0.000018	0.000000
exponential2	43	313814094	SUM	months	months	0.000171	0.003500	0.000002	0.000000
exponential2	43	313814094	SUM	years	seconds	0.984669	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	seconds	0.081277	0.000500	0.388206	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	minutes	0.008159	0.001500	0.023381	0.000000
